cine_index_1based,cine_frame_number,time_s,time_from_trigger_s,threshold_enhanced,area_px,area_fraction,perimeter_px,perimeter_density,euler_chi,euler_density,perimeter_mm,area_mm2,roi_area_mm2,perimeter_mm_per_mm2
25,-7576,0.0031578947368421,-0.996842105263158,48.57524871826172,122875,0.0817570768526503,45185.907534955295,0.0300652509867108,-208,-0.0001383965166661,775.4878725593678,36.191579163623075,442.67212768444114,1.7518335220603145
27,-7574,0.0034210526315789,-0.996578947368421,48.6551628112793,121503,0.0808441921369486,45349.78473531532,0.0301742896102243,-281,-0.0001869683710729,778.3003596466277,35.787470544192836,442.67212768444114,1.758186953666618
29,-7572,0.0036842105263157,-0.9963157894736844,51.73917388916016,118402,0.0787808863764598,42670.85161904508,0.028391813592564,7,4.657575080110292e-06,732.3240750836114,34.87410259313367,442.67212768444114,1.654326146338377
31,-7570,0.0039473684210526,-0.9960526315789474,51.80876922607422,125350,0.0834038623274035,45577.74501732728,0.0303259670571892,-57,-3.792596850946952e-05,782.2126509730492,36.920565193571946,442.67212768444114,1.767024852151183
33,-7568,0.0042105263157894,-0.9957894736842106,51.3794174194336,131252,0.0873308634878051,46871.326799151546,0.0311866748102048,-24,-1.5968828846092428e-05,804.4133112827359,38.65893915266617,442.67212768444114,1.817176327523747
35,-7566,0.0044736842105263,-0.9955263157894736,51.17110443115234,135399,0.0900901440388362,47935.04757853797,0.031894440437957,13,8.649782291633399e-06,822.6690597938272,39.880395745069386,442.67212768444114,1.8584162144951373
37,-7564,0.0047368421052631,-0.9952631578947368,50.23836517333984,145603,0.0968795577698998,50268.38062302071,0.0334469652724686,-72,-4.790648653827728e-05,862.7140998815715,42.885879967129284,442.67212768444114,1.9488782914666751
39,-7562,0.005,-0.995,55.29515838623047,131413,0.0874379877146476,45868.618033605206,0.0305195046160595,7,4.657575080110292e-06,787.2046608470082,38.70636006208911,442.67212768444114,1.7783018437704015
41,-7560,0.0052631578947368,-0.9947368421052633,59.42444610595703,115270,0.0766969542120447,41927.38044355196,0.0278971317611701,-46,-3.060692195501049e-05,719.5645022069052,33.95160390796201,442.67212768444114,1.6255021656114903
43,-7558,0.0055263157894736,-0.9944736842105264,57.13302612304688,123404,0.0821090564551329,44531.00280991605,0.0296294984256837,-199,-0.0001324082058488,764.248291467478,36.347390723155584,442.67212768444114,1.726443215354802
45,-7556,0.0057894736842105,-0.9942105263157894,53.25706100463867,135404,0.0900934708781791,47074.30537112674,0.0313217302300088,-2,-1.3307357371743689e-06,807.8968624504183,39.88186844411979,442.67212768444114,1.8250456984414607
47,-7554,0.0060526315789473,-0.9939473684210526,54.744667053222656,132878,0.0884127516421279,45123.30537112674,0.0300235975183952,-25,-1.663419671467961e-05,774.41348407204,39.137860883856824,442.67212768444114,1.7494064695757865
49,-7552,0.0063157894736842,-0.9936842105263158,55.205299377441406,115877,0.0771008325082771,42226.446460729945,0.0280961206795867,205,0.0001364004130603,724.6971216909058,34.130389572680784,442.67212768444114,1.6370967955034796
51,-7550,0.006578947368421,-0.993421052631579,50.76217651367188,124689,0.0829640541662674,46902.64974236653,0.0312075160901696,-73,-4.857185440686447e-05,804.9508807135876,36.72587437910883,442.67212768444114,1.8183907013169731
53,-7548,0.0068421052631578,-0.993157894736842,46.56121444702149,130828,0.0870487475115241,49373.08747599476,0.0328512659794712,-317,-0.0002109216143421,847.3489337096397,38.534054273192105,442.67212768444114,1.9141682539219467
55,-7546,0.0071052631578947,-0.9928947368421052,45.38359451293945,129288,0.0860240809938999,48339.2357082729,0.032163374232347,-607,-0.0004038782962324,829.6058020203591,38.08046296566837,442.67212768444114,1.8740863725934507
