cine_index_1based,cine_frame_number,time_s,time_from_trigger_s,threshold_enhanced,area_px,area_fraction,perimeter_px,perimeter_density,euler_chi,euler_density
39,-7562,0.005,-0.995,55.29515838623047,131413,0.08743798771464767,45868.618033605206,0.030519504616059588,7,4.657575080110292e-06
41,-7560,0.005263157894736842,-0.9947368421052631,59.42444610595703,115270,0.07669695421204475,41927.38044355196,0.02789713176117017,-46,-3.060692195501049e-05
43,-7558,0.005526315789473684,-0.9944736842105263,57.133026123046875,123404,0.08210905645513292,44531.00280991605,0.029629498425683763,-199,-0.00013240820584884972
45,-7556,0.005789473684210527,-0.9942105263157894,53.25706100463867,135404,0.09009347087817912,47074.30537112674,0.03132173023000885,-2,-1.3307357371743689e-06
47,-7554,0.0060526315789473685,-0.9939473684210526,54.744667053222656,132878,0.0884127516421279,45123.30537112674,0.030023597518395253,-25,-1.663419671467961e-05
49,-7552,0.00631578947368421,-0.9936842105263158,55.205299377441406,115877,0.07710083250827718,42226.446460729945,0.028096120679586743,205,0.0001364004130603728
51,-7550,0.006578947368421052,-0.993421052631579,50.762176513671875,124689,0.08296405416626744,46902.64974236653,0.031207516090169675,-73,-4.8571854406864466e-05
53,-7548,0.006842105263157895,-0.9931578947368421,46.561214447021484,130828,0.08704874751152417,49373.08747599476,0.032851265979471245,-317,-0.00021092161434213747
55,-7546,0.007105263157894737,-0.9928947368421053,45.38359451293945,129288,0.08602408099389991,48339.2357082729,0.03216337423234706,-607,-0.00040387829623242096
57,-7544,0.007368421052631579,-0.9926315789473684,45.7589111328125,117550,0.07821399295242354,44531.36965520117,0.029629742512749226,-490,-0.0003260302556077204
59,-7542,0.007631578947368421,-0.9923684210526316,44.69377517700195,122243,0.0813365643597032,45736.29649534825,0.03043146211618138,-331,-0.00022023676450235808
61,-7540,0.007894736842105263,-0.9921052631578947,44.786163330078125,128214,0.08530947590303727,46953.19599028486,0.031241147939412173,-198,-0.00013174283798026253
63,-7538,0.008157894736842105,-0.9918421052631579,50.65411376953125,116668,0.07762713849232963,42459.79169852151,0.02825138110310109,-186,-0.0001237584235572163
65,-7536,0.008421052631578947,-0.991578947368421,51.36393737792969,118388,0.0787715712262996,42636.90230485266,0.028369224809739826,-57,-3.7925968509469516e-05
67,-7534,0.008684210526315789,-0.9913157894736843,57.09023666381836,103839,0.06909113410622465,36950.07283170739,0.024585391204174377,-109,-7.252509767600311e-05
69,-7532,0.008947368421052631,-0.9910526315789474,55.94548034667969,101820,0.06774775637954712,37572.972326644,0.024999848513464384,-43,-2.8610818349248933e-05
71,-7530,0.009210526315789473,-0.9907894736842106,53.08010482788086,107916,0.0718038389064546,41549.05977184679,0.02764540934219523,-295,-0.00019628352123321943
73,-7528,0.009473684210526316,-0.9905263157894737,48.50067138671875,121762,0.08101652241491275,42766.35327781024,0.02845535732770315,-318,-0.00021158698221072466
75,-7526,0.009736842105263158,-0.9902631578947368,47.629173278808594,125620,0.08358351165192211,44532.577628534134,0.029630546259391093,-192,-0.00012775063076873942
77,-7524,0.01,-0.99,48.74391174316406,119870,0.0797576464075458,42256.208004124936,0.028115923054281334,-205,-0.0001364004130603728
79,-7522,0.010263157894736842,-0.9897368421052631,52.44377899169922,107556,0.07156430647376322,40503.89324960542,0.026949989120972805,-380,-0.0002528397900631301
81,-7520,0.010526315789473684,-0.9894736842105263,56.612125396728516,101638,0.06762665942746425,39122.20382004282,0.0260306573701753,-183,-0.00012176231995145477
